filename,x,y,x2,y2,class
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0005.jpg,4748,975,5181,2721,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0005.jpg,2570,654,3567,3200,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0005.jpg,1614,879,1974,1971,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0005.jpg,1450,876,1730,1976,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0008.jpg,4487,955,5090,2645,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0008.jpg,1323,692,1655,2144,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0008.jpg,1617,810,1889,1868,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0008.jpg,2530,471,3532,3263,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0008.jpg,2175,713,2683,2315,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0010.jpg,3169,1015,3749,2541,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0010.jpg,1516,839,2140,2600,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0010.jpg,3700,859,4457,2442,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0010.jpg,326,761,1170,2562,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0010.jpg,2789,1027,3090,1952,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0011.jpg,1617,835,2979,3243,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0011.jpg,3607,737,3891,1674,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0011.jpg,3911,876,4208,1686,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0011.jpg,2566,871,2791,1549,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0012.jpg,1333,262,3136,3455,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0012.jpg,3364,865,3644,1649,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0015.jpg,2417,874,3449,3018,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0024.jpg,1407,661,2375,3197,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0024.jpg,2971,49,5111,3455,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0024.jpg,975,1097,1323,2089,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0040.jpg,87,817,2516,3443,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0040.jpg,2273,924,4119,3455,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0041.jpg,4285,629,4953,2217,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0041.jpg,2460,648,3340,3057,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0041.jpg,3724,754,4112,2080,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0041.jpg,2036,1068,2488,2242,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0056.jpg,2024,671,3050,3428,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0056.jpg,2966,843,3147,1471,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0056.jpg,4560,761,4914,1762,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0056.jpg,3168,870,3350,1464,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0058.jpg,1188,993,1788,2554,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0058.jpg,1934,1070,2400,2514,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0058.jpg,464,1195,690,1811,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0058.jpg,766,1336,916,1732,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0062.jpg,2053,839,2395,2092,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0062.jpg,2437,504,3500,3180,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0071.jpg,2198,790,3066,2778,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0073.jpg,2539,526,3584,3399,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0073.jpg,4878,759,5183,1811,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0073.jpg,3776,913,4006,1586,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0078.jpg,2129,944,2672,2394,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0084.jpg,655,858,1572,3455,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0084.jpg,3661,1300,4003,2394,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0084.jpg,2063,366,3818,3455,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0084.jpg,0,1054,194,2514,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0090.jpg,320,202,432,478,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0090.jpg,221,202,274,291,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0090.jpg,155,225,200,303,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0091.jpg,483,38,829,1195,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0096.jpg,672,415,1154,1501,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0098.jpg,854,221,1391,1380,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0111.jpg,1196,137,1483,1014,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0111.jpg,0,0,292,1158,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0111.jpg,827,162,1084,1020,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0112.jpg,246,172,585,1092,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0112.jpg,608,259,825,866,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0112.jpg,924,222,1150,900,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0112.jpg,1405,304,1499,477,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0114.jpg,712,149,1082,1118,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0114.jpg,1198,291,1468,930,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0114.jpg,1449,387,1549,637,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0119.jpg,801,524,1451,1937,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0127.jpg,447,416,618,917,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0127.jpg,742,416,939,975,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0127.jpg,589,411,714,891,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0127.jpg,687,423,797,868,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0133.jpg,0,108,404,1184,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0133.jpg,709,208,1113,1184,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0133.jpg,1299,215,1681,1184,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0133.jpg,775,223,885,382,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0133.jpg,1050,266,1358,1184,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0134.jpg,893,628,1044,1052,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0134.jpg,1196,633,1281,816,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0134.jpg,1124,646,1195,861,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0143.jpg,1017,86,1456,1176,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0149.jpg,879,93,1126,814,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0149.jpg,527,70,802,874,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0149.jpg,1342,147,1494,585,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0156.jpg,1185,327,1399,808,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0159.jpg,293,90,763,1247,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0160.jpg,977,202,1408,1115,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0164.jpg,421,233,910,938,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0173.jpg,575,139,892,1058,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0174.jpg,1171,146,1476,786,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0182.jpg,270,225,444,653,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0182.jpg,508,228,649,664,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0182.jpg,103,291,190,481,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0182.jpg,400,227,538,656,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0182.jpg,825,278,887,383,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0182.jpg,35,292,114,480,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0182.jpg,725,283,785,369,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0182.jpg,861,239,1013,417,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0182.jpg,647,286,716,477,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0186.jpg,1466,1032,2595,3839,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0186.jpg,2405,753,4341,3839,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0186.jpg,4242,1302,4626,2114,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0188.jpg,634,169,844,503,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0188.jpg,220,146,292,282,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0188.jpg,584,183,722,506,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0188.jpg,382,148,619,663,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0192.jpg,21,91,248,629,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0192.jpg,354,78,613,683,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0192.jpg,659,87,901,667,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0194.jpg,2102,645,2479,1505,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0204.jpg,4026,10,5381,3999,person
/content/drive/MyDrive/TFM/BibNumberTest/bib_number_0204.jpg,1404,881,3108,2599,person
